ISO_Code,Year,RGDP Per Capita Lag
DNK,2014-01-01,44268.0
DOM,2014-01-01,12101.0
ECU,2014-01-01,10875.0
EGY,2014-01-01,10803.0
SLV,2014-01-01,7800.0
EST,2014-01-01,24710.0
ETH,2014-01-01,1361.0
FJI,2014-01-01,
FIN,2014-01-01,37913.0
FRA,2014-01-01,37926.0
GAB,2014-01-01,14757.0
GMB,2014-01-01,1830.0
GEO,2014-01-01,9540.0
DEU,2014-01-01,44560.0
GHA,2014-01-01,3635.0
GRC,2014-01-01,24807.0
GTM,2014-01-01,6689.0
GIN,2014-01-01,1464.0
GNB,2014-01-01,1281.0
GUY,2014-01-01,
HTI,2014-01-01,1638.0
HND,2014-01-01,4213.0
HKG,2014-01-01,53707.0
HUN,2014-01-01,21816.0
ISL,2014-01-01,38668.0
IND,2014-01-01,5052.0
IDN,2014-01-01,9391.0
IRN,2014-01-01,15844.0
IRQ,2014-01-01,13213.0
IRL,2014-01-01,48162.0
ISR,2014-01-01,30625.0
ITA,2014-01-01,34482.0
JAM,2014-01-01,7096.0
JPN,2014-01-01,35494.0
JOR,2014-01-01,11656.0
KAZ,2014-01-01,23365.0
KEN,2014-01-01,2877.0
KOR,2014-01-01,33322.0
KWT,2014-01-01,75584.0
KGZ,2014-01-01,4360.0
LAO,2014-01-01,5197.0
LVA,2014-01-01,20765.0
LBN,2014-01-01,14627.0
LSO,2014-01-01,2686.0
LBR,2014-01-01,827.0
LBY,2014-01-01,13326.0
LTU,2014-01-01,23389.0
LUX,2014-01-01,56319.0
MKD,2014-01-01,12421.0
MDG,2014-01-01,1317.0
MWI,2014-01-01,1031.0
MYS,2014-01-01,21152.0
MLI,2014-01-01,1444.0
MLT,2014-01-01,24207.0
MRT,2014-01-01,2933.0
MUS,2014-01-01,16984.0
MEX,2014-01-01,15357.0
MDA,2014-01-01,5256.0
MNG,2014-01-01,11088.0
MNE,2014-01-01,16357.0
MAR,2014-01-01,7450.0
MOZ,2014-01-01,1122.0
MMR,2014-01-01,4992.0
NAM,2014-01-01,9512.0
NPL,2014-01-01,2422.0
NLD,2014-01-01,48629.0
NZL,2014-01-01,32708.0
NIC,2014-01-01,4325.0
NER,2014-01-01,859.0
NGA,2014-01-01,5372.0
NOR,2014-01-01,79894.0
OMN,2014-01-01,41970.0
PAK,2014-01-01,4676.0
PAN,2014-01-01,21044.0
PNG,2014-01-01,
PRY,2014-01-01,7811.0
PER,2014-01-01,10783.0
PHL,2014-01-01,6393.0
POL,2014-01-01,23627.0
PRT,2014-01-01,25862.0
QAT,2014-01-01,148807.0
ROU,2014-01-01,18919.0
RUS,2014-01-01,23881.0
RWA,2014-01-01,1555.0
SAU,2014-01-01,48106.0
SEN,2014-01-01,2260.0
SRB,2014-01-01,13347.0
SYC,2014-01-01,22081.0
SLE,2014-01-01,1684.0
SGP,2014-01-01,61755.0
SVK,2014-01-01,23797.0
SVN,2014-01-01,26062.0
