Country Name,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Guinea-Bissau,119.0,20.0,56.1,33.8,48.7,28.7,89.0,87.5,75.3,46.7,60.9,77.7,65.2,30.0,30.0,9.9,20.0,25.0,8.7,25.5,1.8,2.7,4.8,3.1,1508,7.6,1.5,18.3,57.7
Guyana,106.0,23.0,58.5,37.7,34.1,33.9,68.0,72.8,80.9,63.2,70.9,79.8,70.7,60.0,30.0,7.1,33.3,40.0,22.1,29.6,0.8,5.8,3.0,4.5,7509,11.2,-0.3,121.7,48.8
Haiti,159.0,27.0,49.6,12.6,25.1,19.1,80.3,81.0,51.8,49.4,62.1,73.8,70.6,40.0,30.0,7.2,30.0,30.0,13.2,22.0,10.6,18.7,1.0,3.3,1750,6.9,7.5,104.2,30.4
Honduras,100.0,21.0,58.8,45.0,38.2,32.2,83.3,74.7,64.1,56.9,31.2,77.3,78.4,65.0,60.0,5.8,25.0,25.0,20.6,28.0,8.4,41.1,3.6,3.5,4869,3.9,3.2,1203.5,47.4
Hong Kong SAR,1.0,1.0,89.8,93.7,84.0,80.3,93.0,90.0,100.0,94.6,89.1,83.2,90.0,90.0,90.0,0.0,15.0,16.5,14.4,17.6,7.3,414.6,2.4,2.9,56701,3.3,3.0,174892.1,0.1
Hungary,56.0,27.0,65.8,60.1,51.8,41.5,79.3,25.3,79.3,64.0,64.4,91.7,87.0,75.0,70.0,1.5,15.0,19.0,38.5,50.2,9.9,258.4,2.9,1.7,26222,7.0,-0.1,1269.9,75.5
Iceland,22.0,12.0,74.4,85.0,71.5,71.5,70.9,41.1,90.6,90.2,62.6,81.2,88.0,80.0,60.0,1.0,31.8,20.0,38.7,43.6,0.3,15.2,4.0,2.7,46097,4.4,1.6,-76.2,67.6
India,143.0,33.0,52.6,55.4,44.4,44.3,77.2,77.4,11.0,52.8,41.6,75.0,72.6,40.0,40.0,6.2,30.9,34.6,16.6,27.9,1276.3,7965.2,7.3,6.7,6162,3.5,4.9,44208.0,67.2
Indonesia,84.0,18.0,61.9,48.3,39.3,44.7,83.6,89.9,90.1,49.1,48.9,74.0,80.5,35.0,60.0,2.3,30.0,25.0,10.9,17.4,255.1,2842.2,4.8,5.5,11126,5.8,6.4,15508.2,27.3
Iran,155.0,13.0,50.5,32.4,36.0,29.6,81.1,92.7,94.9,64.8,54.5,55.5,54.5,0.0,10.0,15.2,35.0,25.0,6.4,15.9,79.0,1371.1,0.0,-0.1,17251,10.5,12.0,2050.0,17.1
Ireland,9.0,3.0,76.7,85.8,78.3,78.3,72.7,57.1,60.3,80.3,73.6,87.6,87.0,90.0,70.0,1.5,41.0,12.5,29.9,35.2,4.6,257.4,7.8,3.4,55533,9.5,0.0,100542.4,78.7
Israel,36.0,3.0,69.7,71.9,82.0,47.6,61.0,50.5,71.8,69.9,64.3,84.9,88.0,75.0,70.0,1.0,48.0,25.0,31.1,40.3,8.4,281.9,2.6,3.3,33656,5.0,-0.6,11566.0,64.6
Italy,79.0,34.0,62.5,74.6,55.4,44.7,54.9,22.3,66.9,69.8,52.9,86.9,87.0,85.0,50.0,1.5,43.0,27.5,43.6,50.4,60.2,2170.9,0.8,-0.7,35708,12.1,0.1,20278.7,132.6
Jamaica,41.0,6.0,69.5,58.0,61.5,38.2,81.0,77.5,79.9,78.9,73.7,79.5,75.3,80.0,50.0,7.3,25.0,25.0,25.5,28.2,2.8,24.6,1.1,0.5,8759,13.7,4.7,794.5,124.3
Japan,40.0,10.0,69.6,89.4,73.8,86.1,68.5,52.3,9.5,82.3,77.5,83.0,82.6,70.0,60.0,1.2,40.8,23.9,30.3,39.3,126.7,4830.1,0.5,0.6,38054,3.3,0.8,-2250.0,248.1
Jordan,53.0,5.0,66.7,60.1,49.5,49.8,91.3,73.3,55.5,63.9,58.1,86.7,82.0,70.0,60.0,4.0,14.0,20.0,16.7,29.0,6.8,82.7,2.5,2.7,12123,12.9,-0.9,1274.8,91.7
Kazakhstan,42.0,11.0,69.0,56.1,56.5,38.0,93.3,85.7,98.9,74.5,82.5,73.9,78.5,40.0,50.0,3.3,10.0,20.0,13.2,23.0,17.7,429.1,1.2,4.8,24268,5.6,6.5,4020.7,23.3
Kenya,135.0,27.0,53.5,45.1,42.7,24.7,78.5,77.9,14.4,50.0,62.4,73.8,67.2,55.0,50.0,8.9,30.0,30.0,18.7,28.6,44.1,141.9,5.6,5.5,3208,9.2,6.6,1437.0,52.7
"Korea, South",23.0,6.0,74.3,77.8,59.9,67.3,73.7,68.9,97.4,90.6,57.0,84.0,79.5,65.0,70.0,5.2,35.0,22.0,24.6,32.9,50.6,1848.5,2.6,3.0,36511,3.7,0.7,5042.0,35.9
Kuwait,61.0,6.0,65.1,55.5,56.4,41.3,97.7,40.8,99.8,61.2,61.5,73.6,78.7,55.0,60.0,3.2,0.0,15.0,0.9,53.6,4.1,288.4,0.9,4.0,70166,3.5,3.4,293.5,10.6
