CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,
73,Iceland,Iceland,Europe,22,12,74.4,85.0,71.5,71.5,70.9,41.1,90.6,90.2,62.6,81.2,88.0,80,60,1.0,31.8,20.0,38.7,43.6,Iceland,0.3,$15.2 ,4.0,2.7,"$46,097",4.4,1.6,-76.2,67.6,,
74,India,India,Asia-Pacific,143,33,52.6,55.4,44.4,44.3,77.2,77.4,11.0,52.8,41.6,75.0,72.6,40,40,6.2,30.9,34.6,16.6,27.9,India,1276.3,"$7,965.2 ",7.3,6.7,"$6,162",3.5,4.9,"44,208.0",67.2,,
75,Indonesia,Indonesia,Asia-Pacific,84,18,61.9,48.3,39.3,44.7,83.6,89.9,90.1,49.1,48.9,74.0,80.5,35,60,2.3,30.0,25.0,10.9,17.4,Indonesia,255.1,"$2,842.2 ",4.8,5.5,"$11,126",5.8,6.4,"15,508.2",27.3,,
76,Iran,Iran,Middle East / North Africa,155,13,50.5,32.4,36.0,29.6,81.1,92.7,94.9,64.8,54.5,55.5,54.5,0,10,15.2,35.0,25.0,6.4,15.9,Iran,79.0,"$1,371.1 ",0.0,-0.1,"$17,251",10.5,12.0,"2,050.0",17.1,,
77,Iraq,Iraq,Middle East / North Africa,n/a,n/a,N/A,37.3,15.9,19.1,N/A,36.1,11.3,61.2,68.0,76.9,N/A,N/A,N/A,n/a,15.0,15.0,n/a,44.4,Iraq,37.0,$544.1 ,2.4,5.7,"$15,474",16.9,1.4,"3,468.5",66.1,,
78,Ireland,Ireland,Europe,9,3,76.7,85.8,78.3,78.3,72.7,57.1,60.3,80.3,73.6,87.6,87.0,90,70,1.5,41.0,12.5,29.9,35.2,Ireland,4.6,$257.4 ,7.8,3.4,"$55,533",9.5,0.0,"100,542.4",78.7,,
79,Israel,Israel,Middle East / North Africa,36,3,69.7,71.9,82.0,47.6,61.0,50.5,71.8,69.9,64.3,84.9,88.0,75,70,1.0,48.0,25.0,31.1,40.3,Israel,8.4,$281.9 ,2.6,3.3,"$33,656",5.0,-0.6,"11,566.0",64.6,,
80,Italy,Italy,Europe,79,34,62.5,74.6,55.4,44.7,54.9,22.3,66.9,69.8,52.9,86.9,87.0,85,50,1.5,43.0,27.5,43.6,50.4,Italy,60.2,"$2,170.9 ",0.8,-0.7,"$35,708",12.1,0.1,"20,278.7",132.6,,
81,Jamaica,Jamaica,Americas,41,6,69.5,58.0,61.5,38.2,81.0,77.5,79.9,78.9,73.7,79.5,75.3,80,50,7.3,25.0,25.0,25.5,28.2,Jamaica,2.8,$24.6 ,1.1,0.5,"$8,759",13.7,4.7,794.5,124.3,,
82,Japan,Japan,Asia-Pacific,40,10,69.6,89.4,73.8,86.1,68.5,52.3,9.5,82.3,77.5,83.0,82.6,70,60,1.2,40.8,23.9,30.3,39.3,Japan,126.7,"$4,830.1 ",0.5,0.6,"$38,054",3.3,0.8,"-2,250.0",248.1,,
83,Jordan,Jordan,Middle East / North Africa,53,5,66.7,60.1,49.5,49.8,91.3,73.3,55.5,63.9,58.1,86.7,82.0,70,60,4.0,14.0,20.0,16.7,29.0,Jordan,6.8,$82.7 ,2.5,2.7,"$12,123",12.9,-0.9,"1,274.8",91.7,,
84,Kazakhstan,Kazakhstan,Asia-Pacific,42,11,69.0,56.1,56.5,38.0,93.3,85.7,98.9,74.5,82.5,73.9,78.5,40,50,3.3,10.0,20.0,13.2,23.0,Kazakhstan,17.7,$429.1 ,1.2,4.8,"$24,268",5.6,6.5,"4,020.7",23.3,,
85,Kenya,Kenya,Sub-Saharan Africa,135,27,53.5,45.1,42.7,24.7,78.5,77.9,14.4,50.0,62.4,73.8,67.2,55,50,8.9,30.0,30.0,18.7,28.6,Kenya,44.1,$141.9 ,5.6,5.5,"$3,208",9.2,6.6,"1,437.0",52.7,,
86,Kiribati,Kiribati,Asia-Pacific,153,38,50.9,48.0,33.0,37.6,73.6,0.0,99.5,51.5,71.9,82.0,58.2,25,30,15.9,35.0,35.0,13.8,103.2,Kiribati,0.1,$0.2 ,4.2,3.6,"$1,787",n/a,1.4,1.7,16.4,,
