State,Year,EFW,GDP,Population,GDP Per Capita,Log GDP,GDP % Growth,Log Population,Population % Growth,Log GDP Per Capita,GDP Per Capita % Growth,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,TotalTax,TotalTax/GDP
MN,1995,8.19,,,,,,,,,,8.632,2741.603,54.775,64.264,149.581,503.933,1.426,0.052,171.992,482.061,0.788,0.109,2.447,37.242,478.082,22.56,0.0,158.908,11.339,3663.517,665.756,35.415,70.947,2.457,0.0,9434.152000000002,
MS,1995,8.42,,,,,,,,,,22.988,1691.654,36.929,191.423,97.872,348.317,0.0,0.0,56.128,0.0,3.061,0.0,61.184,11.308,102.809,10.504,0.0,37.546,0.015,683.247,203.339,12.264,0.0,28.656,0.0,3644.0950000000003,
MO,1995,8.39,,,,,,,,,,14.033,2348.11,23.382,61.762,182.073,547.43,0.0,0.3,113.531,0.0,3.409,1.225,77.034,21.499,228.433,16.733,15.303,105.942,11.616,2535.063,369.424,71.923,0.0,0.021,3.713,6865.804,
MT,1995,8.28,,,,,,,,,,229.5,0.0,14.842,0.0,33.662,162.827,0.181,12.71,14.561,10.325,1.527,34.743,0.962,27.257,44.777,3.26,1.273,25.915,0.835,372.093,75.52,15.382,0.0,83.241,48.759,1230.2820000000002,
NE,1995,8.4,,,,,,,,,,3.471,781.099,15.885,10.636,38.693,259.559,0.853,2.297,48.253,30.134,0.244,0.0,5.398,9.049,66.69,6.257,0.0,48.491,14.455,740.902,123.924,7.409,4.453,1.573,0.0,2255.159,
NV,1995,8.43,,,,,,,,,,57.817,1437.82,13.384,449.098,83.342,180.593,0.0,5.474,50.523,40.137,0.0,76.944,12.167,4.819,86.833,9.598,0.0,113.862,3.691,0.0,0.0,23.389,1.862,46.99,0.0,2734.577,
NH,1995,8.53,,,,,,,,,,0.13,0.0,11.015,2.242,39.561,101.583,6.069,50.222,44.188,285.32,3.039,0.512,3.909,6.356,53.444,7.748,4.349,29.869,2.805,37.758,166.451,29.065,30.39,0.001,1.919,946.015,
NJ,1995,8.28,,,,,,,,,,5.606,4133.278,76.783,301.76,319.63,466.695,2.272,1201.179,256.035,217.68,4.991,53.635,120.496,11.79,393.759,34.335,3.993,94.516,3.055,4540.082,1028.947,275.824,60.609,0.0,0.0,13834.165,
NM,1995,8.32,,,,,,,,,,27.422,1218.664,33.654,1.153,43.609,190.626,1.119,10.058,24.529,92.523,3.405,0.17,2.16,13.428,115.612,5.75,0.102,14.588,0.576,591.734,150.343,8.962,0.0,294.297,0.0,2874.323,
NY,1995,8.19,,,,,,,,,,0.0,6844.96,209.044,0.634,633.969,487.746,57.313,1628.11,723.792,1188.589,30.581,0.03,37.497,32.046,658.242,102.789,50.027,98.549,3.99,17589.489,2814.568,759.377,343.15,0.0,0.0,34780.141,
NC,1995,8.51,,,,,,,,,,128.616,2794.111,160.089,0.0,226.894,914.233,0.0,277.433,44.636,443.98,5.506,6.689,184.382,15.229,320.167,58.569,0.0,117.518,2.164,4699.115,906.007,118.457,0.0,1.919,0.0,11571.312,
ND,1995,8.32,,,,,,,,,,1.991,283.382,5.174,11.012,19.478,90.035,0.0,26.616,24.095,88.283,0.242,0.289,0.0,6.853,40.197,3.108,0.0,25.274,0.0,142.997,69.88,6.394,0.0,113.425,0.0,971.2479999999999,
OH,1995,8.28,,,,,,,,,,13.509,4752.099,78.972,0.0,324.689,1251.92,13.788,732.635,293.057,34.705,24.87,0.0,403.609,29.033,495.86,36.354,0.696,338.184,3.942,5552.503,713.252,83.362,0.0,9.135,0.0,15429.17,
